"x","y"
1750.69696969697,4902.40151515152
1564.26315789474,4773.82456140351
932.830769230769,3206.50769230769
1913,2181.82926829268
2256.2027027027,1354.33783783784
2545.73076923077,1201.67307692308
2860.33333333333,1107.20512820513
3356.40350877193,1057.36842105263
3855.78571428571,1139.48979591837
4909.58139534884,1328.12403100775
5189.39344262295,1631.29508196721
5427.69565217391,1963.47826086957
5612.89583333333,2373.23958333333
5272.83673469388,2632.26530612245
4896.55357142857,2868.08928571429
4593.23762376238,3442.39603960396
4197.57142857143,3564.68421052632
3831.0081300813,3558.08943089431
3394.49152542373,2729.64406779661
2630.66666666667,2955.57333333333
2449,4516.63725490196
